"","ref","ID","app.ref","r","pH.u","pH.a","app.mthd","pHr"
"1","Eihe et al. (2019)",10,"Soil application of pig slurry digestate with hollow tubes + Hanging hoses",58,"7.9",6.4,NA,1.5
"2","Eihe et al. (2019)",10,"Soil application of pig slurry digestate with hollow tubes + Hanging hoses",35,"7.9",6.4,NA,1.5
"3","Hagner et al. (2021)",16,"banded.",91.6,"6.9",5.1,NA,1.8
"4","Nyameasem et al. (2022)",28,"Trailing Shoe (TS) application of cattle slurry",58.39,"7.7",6.05,NA,1.65
"5","Nyameasem et al. (2022)",28,"Trailing Shoe (TS) application of cattle slurry",8,"7.55",5.8,NA,1.75
"6","Nyameasem et al. (2022)",28,"Trailing Shoe (TS) application of cattle slurry",59.8,"7.95",6.1,NA,1.85
"7","Nyameasem et al. (2022)",28,"Trailing Shoe (TS) application of cattle slurry",71.5,"7.3",5.4,NA,1.9
"8","Nyameasem et al. (2022)",28,"Trailing Shoe (TS) application of cattle slurry",63.8,"6.9",6,NA,0.9
"9","Nyameasem et al. (2022)",28,"Trailing Shoe (TS) application of cattle slurry",60,"6.95",6.2,NA,0.75
"10","Nyameasem et al. (2022)",28,"Trailing Shoe (TS) application of cattle slurry",46.98,"6.75",5.8,NA,0.95
"11","Nyameasem et al. (2022)",28,"Trailing Shoe (TS) application of cattle slurry",-6.40000000000001,"6.85",5.9,NA,0.949999999999999
"12","Owusu-Twum et al. (2017)",29,"Watering can (without the nozzle) to simulate the band spreading technique",96.5193370165746,"8.6",5.56,NA,3.04
"13","Pedersen and Nyord (2023)",31,"Trailing shoe (Manually applied > watering can)",16.4855072463768,"7.7",7.3,NA,0.4
"14","Pedersen and Nyord (2023)",31,"Trailing shoe (Manually applied > watering can)",6.27705627705629,"7.6",7.3,NA,0.3
"15","Pedersen and Nyord (2023)",31,"Trailing shoe (Manually applied > watering can)",15.3692614770459,"7.8",7.5,NA,0.3
"16","Pedersen et al. (2022)",35,"Trailing hoses in narrow bands at the soil surface",34.7150259067358,"6.5",6.4,NA,0.0999999999999996
"17","Pedersen et al. (2022)",35,"Trailing hoses in narrow bands at the soil surface",76.1658031088083,"6.5",5.9,NA,0.6
"18","Pedersen et al. (2022)",35,"Trailing hoses in narrow bands at the soil surface",25.4777070063694,"7",6.4,NA,0.6
"19","Pedersen et al. (2022)",35,"Trailing hoses in narrow bands at the soil surface",82.8025477707006,"7",5.9,NA,1.1
"20","Pedersen et al. (2022)",35,"Trailing hoses in narrow bands at the soil surface",8.8888888888889,"7",6.5,NA,0.5
"21","Pedersen et al. (2022)",35,"Trailing hoses in narrow bands at the soil surface",92.5,"7",6,NA,1
"22","Pedersen et al. (2022)",35,"Trailing hoses in narrow bands at the soil surface",16.2962962962963,"6.9",6.3,NA,0.600000000000001
"23","Pedersen et al. (2022)",35,"Trailing hoses in narrow bands at the soil surface",65.5555555555556,"6.9",6.1,NA,0.800000000000001
"24","ten Huf et al. (2023)",51,"Trailing hose (CS:TH)",45.5,"6.75",5.8,NA,0.95
"25","ten Huf et al. (2023)",51,"Trailing hose (CS:TH)",81.5,"6.85",5.9,NA,0.949999999999999
"26","ten Huf et al. (2023)",51,"Trailing hose (CS:TH)",90.5,"7",6,NA,1
"27","ten Huf et al. (2023)",51,"Trailing hose (CS:TH)",74,"7.65",6.4,NA,1.25
"28","ten Huf et al. (2023)",51,"Trailing hose (CS:TH)",59,"8",5.8,NA,2.2
"29","ten Huf et al. (2023)",51,"Trailing hose (CS:TH)",54,"7.55",6.6,NA,0.95
"30","ten Huf et al. (2023)",51,"Trailing hose (CS:TH)",35.5,"7.85",3.9,NA,3.95
"31","ten Huf et al. (2023)",51,"Trailing hose (CS:TH)",80,"7.6",4.75,NA,2.85
"32","Wagner et al. (2021)",58,"banded.",88,"7.2",5.6,NA,1.6
"33","Wagner et al. (2021)",58,"trail hose",74,"7.5",5.7,NA,1.8
"34","Wagner et al. (2021)",58,"trail hose",61,"7.3",6.5,NA,0.8
"35","Wagner et al. (2021)",58,"trail hose",57,"7.6",6.5,NA,1.1
"36","Wagner et al. (2021)",58,"trail hose",74,"7.2",6,NA,1.2
"37","Wagner et al. (2021)",58,"trail hose",0.5,"7.1",5.4,NA,1.7
"38","Wagner et al. (2021)",58,"trail hose",57,"8",6.6,NA,1.4
"39","Wagner et al. (2021)",58,"trail hose",67,"7.4",6.2,NA,1.2
"40","Wagner et al. (2021)",58,"trail hose",45,"6.7",3.2,NA,3.5
"41","Wagner et al. (2021)",58,"trail hose",45,"7",6.1,NA,0.9
"42","Wagner et al. (2021)",58,"trail hose",22,"6.8",5.6,NA,1.2
"43","Wagner et al. (2021)",58,"trail hose",45,"7.9",6.5,NA,1.4
"44","Kai et al. (2008)",60,"banded.",67.3469387755102,"6.3",NA,NA,NA
"45","Andersson et al. (2023)",61,"trailing hose",85.2941176470588,"7.1",6,NA,1.1
"46","Andersson et al. (2023)",61,"trailing hose",75,"6.8",6,NA,0.8
"47","Andersson et al. (2023)",61,"trailing hose",84.2696629213483,"7.6",6.7,NA,0.899999999999999
"48","Huijsmans et al. (2015)",101,NA,7,"7.1",6.6,"band",0.5
"49","Huijsmans et al. (2015)",101,NA,32,"7.1",6,"band",1.1
"50","Huijsmans et al. (2015)",101,NA,12,"7.1",6.6,"band",0.5
"51","Huijsmans et al. (2015)",101,NA,18,"7.1",6.1,"band",1
"52","Huijsmans et al. (2015)",101,NA,3,"7.2",7.1,"band",0.100000000000001
"53","Huijsmans et al. (2015)",101,NA,27,"7.2",6.5,"band",0.7
"54","Huijsmans et al. (2015)",101,NA,5,"7.1",7,"band",0.0999999999999996
"55","Huijsmans et al. (2015)",101,NA,19,"7.1",6.5,"band",0.6
"56","Nyord (2013)",102,NA,63,"6.83",5.89,"band",0.94
"57","Nyord (2013)",102,NA,72,"6.81",5.82,"band",0.989999999999999
"58","Nyord (2013)",102,NA,74,"7.2",5.9,"band",1.3
"59","Nyord (2013)",102,NA,52,"7.2",6.2,"band",1
"60","Nyord (2013)",102,NA,41,"7.2",6.2,"band",1
"61","Nyord (2013)",102,NA,16,"7.8",6.7,"band",1.1
"62","Nyord (2013)",102,NA,40,"7.8",6.6,"band",1.2
"63","Nyord (2013)",102,NA,56,"7.4",6.1,"band",1.3
"64","Nyord (2013)",102,NA,62,"7.4",6.1,"band",1.3
"65","Nyord (2013)",102,NA,34,"7.4",6.4,"band",1
"66","Nyord (2013)",102,NA,61,"7.8",6.5,"band",1.3
"67","Nyord (2013)",102,NA,53,"7.8",6.6,"band",1.2
"68","Nyord (2013)",102,NA,56,"7.8",6.3,"band",1.5
"69","Bussink et al. (1994)",104,NA,99,"7.5",4.5,"Broadcast",3
"70","Bussink et al. (1994)",104,NA,87,"7.5",5.1,"Broadcast",2.4
"71","Bussink et al. (1994)",104,NA,94,"7.3",3.9,"Broadcast",3.4
"72","Bussink et al. (1994)",104,NA,81,"7.5",4.5,"Broadcast",3
"73","Bussink et al. (1994)",104,NA,69,"7.1",4.6,"Broadcast",2.5
"74","Bussink et al. (1994)",104,NA,99,"7.2",4.3,"Broadcast",2.9
"75","Bussink et al. (1994)",104,NA,86,"7.4",4.3,"Broadcast",3.1
"76","Bussink et al. (1994)",104,NA,87,"7.1",4.4,"Broadcast",2.7
"77","Bussink et al. (1994)",104,NA,73,"7.4",4.5,"Broadcast",2.9
"78","Bussink et al. (1994)",104,NA,65,"7.3",5,"Broadcast",2.3
"79","Bussink et al. (1994)",104,NA,52,"7",6,"Broadcast",1
"80","Bussink et al. (1994)",104,NA,51,"7",5.8,"Broadcast",1.2
"81","Bussink et al. (1994)",104,NA,79,"7",4.9,"Broadcast",2.1
"82","Bussink et al. (1994)",104,NA,29,"7.4",6.6,"Broadcast",0.800000000000001
"83","Bussink et al. (1994)",104,NA,66,"7.4",6.3,"Broadcast",1.1
"84","Bussink et al. (1994)",104,NA,84,"7.4",5.8,"Broadcast",1.6
"85","Bussink et al. (1994)",104,NA,48,"6.8",5.7,"Broadcast",1.1
"86","Bussink et al. (1994)",104,NA,54,"6.8",5.6,"Broadcast",1.2
"87","Bussink et al. (1994)",104,NA,57,"6.8",5.2,"Broadcast",1.6
"88","Bussink et al. (1994)",104,NA,93,"7.5",4.5,"Broadcast",3
"89","Bussink et al. (1994)",104,NA,89,"7.5",5.1,"Broadcast",2.4
"90","Bussink et al. (1994)",104,NA,97,"6.8",4.5,"Broadcast",2.3
"91","Bussink et al. (1994)",104,NA,89,"6.8",4.5,"Broadcast",2.3
"92","Bussink et al. (1994)",104,NA,49,"6.8",4.5,"Broadcast",2.3
"93","Bussink et al. (1994)",104,NA,60,"6.8",4.5,"Broadcast",2.3
"94","Bussink et al. (1994)",104,NA,45,"6.8",4.5,"Broadcast",2.3
"95","Bussink et al. (1994)",104,NA,81,"6.8",4.5,"Broadcast",2.3
"96","Bussink et al. (1994)",104,NA,76,"6.8",4.5,"Broadcast",2.3
"97","Bussink et al. (1994)",104,NA,66,"6.8",4.5,"Broadcast",2.3
"98","Stevens et al. (1992)",114,NA,86.1111111111111,"7.5",6.5,"Broadcast",1
