cellid,date.time,from,rain.1h.dmi,air.temp.dmi,mean_wind_speed,soil.temp.dmi,wind.2m.dmi,source.dmi,imei,air.temp.fs,humidity,rain.1h.fs,soil.temp.fs,wind.2m.fs,year2,year4,source.fs,air.temp.error,air.temp.aerror,wind.2m.error,wind.2m.aerror,wind.2m.rerror,rain.1h.error,rain.1h.aerror,rain.1h.rerror,rain.1h.not0.error,rain.1h.not0.aerror,rain.1h.not0.rerror,year,mnth,dom,hr
10km_606_64,2020-04-01T04:00:00Z,2020-03-31 23:00:00,0,4.3,8.4,5.8,6.44288398785915,DMI,862549042466022,3.415,85.1316666666667,0,5.18166666666667,5.98166666666667,,2020,FieldSense,0.885,0.885,0.461217321192481,0.461217321192481,0.0771051526094981,0,0,,,,,20,4,1,0
10km_606_64,2020-04-01T05:00:00Z,2020-04-01 00:00:00,0,4.4,8.3,5.8,6.36618298800368,DMI,862549042466022,3.42666666666667,88.6933333333333,0,5.1,6.02333333333333,,2020,FieldSense,0.973333333333334,0.973333333333334,0.342849654670347,0.342849654670347,0.056920252573937,0,0,,,,,20,4,1,1
10km_606_64,2020-04-01T06:00:00Z,2020-04-01 01:00:00,0.1,4.4,7.9,5.8,6.05937898858182,DMI,862549042466022,3.345,93.5733333333333,0.25,5.06,5.345,,2020,FieldSense,1.055,1.055,0.714378988581818,0.714378988581818,0.133653692905859,-0.15,0.15,-0.6,-0.15,0.15,-0.6,20,4,1,2
10km_606_64,2020-04-01T07:00:00Z,2020-04-01 02:00:00,0,4.5,7,5.8,5.36906998988262,DMI,862549042466022,3.39166666666667,94.3066666666667,0,5.02,4.565,,2020,FieldSense,1.10833333333333,1.10833333333333,0.804069989882622,0.804069989882622,0.176138004355448,0,0,,,,,20,4,1,3
10km_606_64,2020-04-01T08:00:00Z,2020-04-01 03:00:00,0.5,4.6,6.6,5.8,5.06226599046076,DMI,862549042466022,3.71833333333333,92.185,0,4.97666666666667,3.87666666666667,,2020,FieldSense,0.881666666666666,0.881666666666666,1.18559932379409,1.18559932379409,0.305829576215157,0.5,0.5,Inf,0.5,0.5,Inf,20,4,1,4
10km_606_64,2020-04-01T09:00:00Z,2020-04-01 04:00:00,0,4.8,6.5,5.8,4.98556499060529,DMI,862549042466022,3.88,90.9566666666667,0,4.94166666666667,4.295,,2020,FieldSense,0.919999999999999,0.919999999999999,0.690564990605292,0.690564990605292,0.160783466962815,0,0,,,,,20,4,1,5
10km_606_64,2020-04-01T10:00:00Z,2020-04-01 05:00:00,0,4.8,6.7,5.7,5.13896699031622,DMI,862549042466022,4.285,89.8,0,4.93,4.84833333333333,,2020,FieldSense,0.515,0.515,0.290633656982891,0.290633656982891,0.0599450650360036,0,0,,,,,20,4,1,6
10km_606_64,2020-04-01T11:00:00Z,2020-04-01 06:00:00,0,5.1,7.3,5.8,5.59917298944902,DMI,862549042466022,4.66833333333333,90.6716666666667,0,4.93,5.60833333333333,,2020,FieldSense,0.431666666666666,0.431666666666666,-0.00916034388431441,0.00916034388431441,-0.00163334512053159,0,0,,,,,20,4,1,7
10km_606_64,2020-04-01T12:00:00Z,2020-04-01 07:00:00,0,5.5,7.6,5.9,5.82927598901542,DMI,862549042466022,5.215,88.335,0,4.99833333333333,6.02333333333333,,2020,FieldSense,0.285,0.285,-0.194057344317915,0.194057344317915,-0.0322176000527806,0,0,,,,,20,4,1,8
10km_606_64,2020-04-01T13:00:00Z,2020-04-01 08:00:00,0,6.1,8,6.1,6.13607998843728,DMI,862549042466022,6.12,79.1133333333333,0,5.1,6.77833333333333,,2020,FieldSense,-0.0200000000000005,0.0200000000000005,-0.642253344896051,0.642253344896051,-0.094750923761404,0,0,,,,,20,4,1,9
