ID,Description,Application method,Slurry type,Slurry DM,Slurry pH,Application rate,Incorporation,Incorporation time,Air temp.,Wind speed,,Rain rate,,Table 13 values,
,,,,(%),,(t/ha),,(h),(deg. C),"(2 m, m/s)",,(mm/h),,(frac. TAN),
sid,descrip,app.mthd,man.source,man.dm,man.ph,app.rate,incorp,time.incorp,air.temp,wind.2m,wind.sqrt,rain.rate,ct,lwr.gd,upr.gd
00-0,ref,Broadcast,Cattle,6,7.3,40,none,,14,2,1.41,0.1,168,,
01-ai,Trailing hose,Trailing hose,Cattle,6,7.3,40,none,,14,2,1.41,0.1,168,0.3,0.35
02-aii,Trailing shoe,Trailing shoe,Cattle,6,7.3,40,none,,14,2,1.41,0.1,168,0.3,0.6
03-b,Open slot injection,Open slot injection,Cattle,6,7.3,40,none,,14,2,1.41,0.1,168,0.7,0.7
04-c,Closed slot injection,Closed slot injection,Cattle,6,7.3,40,none,,14,2,1.41,0.1,168,0.8,0.9
05-new1,Liquid frac sep,Broadcast,Cattle,3.3,7.3,40,none,,14,2,1.41,0.1,168,,
06-e,Dilution,Broadcast,Cattle,3,7.3,40,none,,14,2,1.41,0.1,168,0.3,0.3
07-new2,Acidified,Broadcast,Cattle,6,5.9,40,none,,14,2,1.41,0.1,168,,
08-di,Deep incorp quick,Broadcast,Cattle,6,7.3,40,deep,0.167,14,2,1.41,0.1,168,0.9,0.9
09-dii,Shallow incorp quick,Broadcast,Cattle,6,7.3,40,shallow,0.167,14,2,1.41,0.1,168,0.7,0.7
10-diii,Deep incorp 4 h,Broadcast,Cattle,6,7.3,40,deep,2,14,2,1.41,0.1,168,0.45,0.65
11-div,Deep incorp 24 h,Broadcast,Cattle,6,7.3,40,deep,12,14,2,1.41,0.1,168,0.3,0.3
00-0,ref,Broadcast,Pig,4,7.5,40,none,,14,2,1.41,0.1,168,,
01-ai,Trailing hose,Trailing hose,Pig,4,7.5,40,none,,14,2,1.41,0.1,168,0.3,0.35
02-aii,Trailing shoe,Trailing shoe,Pig,4,7.5,40,none,,14,2,1.41,0.1,168,0.3,0.6
03-b,Open slot injection,Open slot injection,Pig,4,7.5,40,none,,14,2,1.41,0.1,168,0.7,0.7
04-c,Closed slot injection,Closed slot injection,Pig,4,7.5,40,none,,14,2,1.41,0.1,168,0.8,0.9
05-new1,Liquid frac sep,Broadcast,Pig,2,7.5,40,none,,14,2,1.41,0.1,168,,
06-e,Dilution,Broadcast,Pig,2,7.5,40,none,,14,2,1.41,0.1,168,0.3,0.3
07-new2,Acidified,Broadcast,Pig,4,6.1,40,none,,14,2,1.41,0.1,168,,
08-di,Deep incorp quick,Broadcast,Pig,4,7.5,40,deep,0.167,14,2,1.41,0.1,168,0.9,0.9
09-dii,Shallow incorp quick,Broadcast,Pig,4,7.5,40,shallow,0.167,14,2,1.41,0.1,168,0.7,0.7
10-diii,Deep incorp 4 h,Broadcast,Pig,4,7.5,40,deep,2,14,2,1.41,0.1,168,0.45,0.65
11-div,Deep incorp 24 h,Broadcast,Pig,4,7.5,40,deep,12,14,2,1.41,0.1,168,0.3,0.3
comb1,Trailing shoe + acid,Trailing shoe,Cattle,6,5.9,40,none,,14,2,1.41,0.1,168,,
comb2,Dilution + acid,Broadcast,Cattle,3,5.9,40,none,,14,2,1.41,0.1,168,,
comb3,Trailing shoe + dilution,Trailing shoe,Cattle,3,7.3,40,none,,14,2,1.41,0.1,168,,
comb4,Trailing hose + dilution,Trailing hose,Cattle,3,7.3,40,none,,14,2,1.41,0.1,168,,
