group,man.source.pig,sid,lwr,med,upr,rred
00-0 ref cattle,0,00-0,0,0,0,0
00-0 ref pig,1,00-0,0,0,0,0
01-ai trailing hose cattle,0,01-ai,0.0805245825743356,0.49111503614266,0.624925099050883,0.488923506953405
01-ai trailing hose pig,1,01-ai,0.0525329012106803,0.302709798767379,0.460498324053583,0.304467648144921
02-aii trailing shoe cattle,0,02-aii,0.130921604065857,0.527588422255378,0.686255072834581,0.52587837454722
02-aii trailing shoe pig,1,02-aii,0.07684162820127,0.323946985449152,0.581160200054496,0.331179377316509
03-b open slot injection cattle,0,03-b,0.443575116332939,0.743380662817871,0.799415328045541,0.747494050631723
03-b open slot injection pig,1,03-b,0.300716956783742,0.54486465327008,0.677773854845962,0.52283199377257
04-c closed slot injection cattle,0,04-c,0.801708622363583,0.909831346513598,0.98236978826874,0.906487118043803
04-c closed slot injection pig,1,04-c,0.70382046767849,0.826191739818095,0.962314234937029,0.798625020663253
05-new1 liquid frac sep cattle,0,05-new1,0.223693576412041,0.428985123096293,0.539179434067092,0.424768549746325
05-new1 liquid frac sep pig,1,05-new1,0.178231848432602,0.318364503384976,0.46242674585556,0.304719054751676
06-e dilution cattle,0,06-e,0.223693576412041,0.428985123096293,0.539179434067092,0.424768549746325
06-e dilution pig,1,06-e,0.178231848432602,0.318364503384976,0.46242674585556,0.304719054751676
07-new2 acidified cattle,0,07-new2,0.00494050637010095,0.460935619637708,0.598341293640983,0.456535811110675
07-new2 acidified pig,1,07-new2,0.0902563512751015,0.361137043348969,0.5083220840659,0.372937152968897
08-di deep incorp quick cattle,0,08-di,0.91266289676314,0.930974610933376,0.958913424036711,0.927759046191517
08-di deep incorp quick pig,1,08-di,0.925601470981142,0.946419941913459,0.966666467905451,0.94412119264178
09-dii shallow incorp quick cattle,0,09-dii,0.457026360060793,0.619056219440955,0.688567258638033,0.611061072524958
09-dii shallow incorp quick pig,1,09-dii,0.282439032318035,0.451495045497217,0.606445920243243,0.414555076466274
10-diii deep incorp 4 h cattle,0,10-diii,0.349067369974535,0.520780481616293,0.853358103413326,0.476998395976972
10-diii deep incorp 4 h pig,1,10-diii,0.441413994111363,0.597431971910048,0.83169817797423,0.566379523625244
11-div deep incorp 24 h cattle,0,11-div,0.0491118295248538,0.0948140157402397,0.477362014771738,0.0878966317931911
11-div deep incorp 24 h pig,1,11-div,0.138339293922052,0.232237698530974,0.432801654270213,0.246424997560696
