group,lwr,rred,upr,val
00-0 ref cattle,0,0,0,"0 [0, 0]"
01-ai trailing hose cattle,8,49,62,"49 [8, 62]"
02-aii trailing shoe cattle,13,53,69,"53 [13, 69]"
03-b open slot injection cattle,44,75,80,"75 [44, 80]"
04-c closed slot injection cattle,80,91,98,"91 [80, 98]"
05-new1 liquid frac sep cattle,22,42,54,"42 [22, 54]"
06-e dilution cattle,22,42,54,"42 [22, 54]"
07-new2 acidified cattle,0,46,60,"46 [0, 60]"
08-di deep incorp quick cattle,91,93,96,93
09-dii shallow incorp quick cattle,46,61,69,61
10-diii deep incorp 4 h cattle,57,67,91,67
11-div deep incorp 24 h cattle,9,17,67,17
comb1 trailing shoe + acid cattle,55,77,86,"77 [55, 86]"
comb2 dilution + acid cattle,33,65,73,"65 [33, 73]"
comb3 trailing shoe + dilution cattle,41,65,77,"65 [41, 77]"
comb4 trailing hose + dilution cattle,35,64,71,"64 [35, 71]"
